amount,post_acc,post_alpha_rho,post_cols_zero,post_isolated,post_loss,post_rows_zero,post_sparsity,pre_acc,pre_alpha_rho,pre_cols_zero,pre_isolated,pre_loss,pre_rows_zero,pre_sparsity,seed,strategy
0.0,0.809921875,2.82639479637146,0,0,0.4142608068883419,0,0.015625,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,none
0.5,0.78546875,2.8077282905578613,0,0,0.44468178376555445,0,0.015625,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,random
0.5,0.813046875,2.9425837993621826,0,0,0.3957871050387621,0,0.0166015625,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,l1_unstructured
0.5,0.813046875,2.9425837993621826,0,0,0.3957871050387621,0,0.0166015625,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,global_unstructured
0.3,0.80921875,3.097379684448242,0,0,0.4333364406228066,0,0.015625,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,structured_out
0.3,0.811796875,2.7390918731689453,0,0,0.4510714215785265,0,0.016845703125,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,structured_in
0.5,0.8209375,2.500605583190918,0,0,0.44803556352853774,0,0.016845703125,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,movement
0.8,0.81796875,3.1506175994873047,0,0,0.3726926876604557,0,0.01611328125,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,imp
0.0,0.809921875,2.82639479637146,0,0,0.4142608068883419,0,0.015625,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,none
0.5,0.7875,2.0712380409240723,0,0,0.4513700868189335,0,0.5068359375,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,random
0.5,0.820546875,2.8189332485198975,0,0,0.38056928142905233,0,0.5,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,l1_unstructured
0.5,0.820546875,2.8189332485198975,0,0,0.38056928142905233,0,0.5,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,global_unstructured
0.3,0.800546875,2.5844473838806152,0,0,0.3890724390000105,19,0.307861328125,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,structured_out
0.3,0.803359375,2.7189548015594482,19,0,0.40597134694457054,0,0.307861328125,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,structured_in
0.5,0.804453125,2.374621629714966,9,8,0.4111982934176922,8,0.5,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,movement
0.8,0.805234375,3.00395131111145,0,0,0.4494580741226673,0,0.58154296875,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,imp
0.0,0.809921875,2.82639479637146,0,0,0.4142608068883419,0,0.015625,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,none
0.5,0.7875,2.0712380409240723,0,0,0.4513700868189335,0,0.5068359375,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,random
0.5,0.820546875,2.8189332485198975,0,0,0.38056928142905233,0,0.5,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,l1_unstructured
0.5,0.820546875,2.8189332485198975,0,0,0.38056928142905233,0,0.5,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,global_unstructured
0.3,0.800546875,2.5844473838806152,0,0,0.3890724390000105,19,0.307861328125,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,structured_out
0.3,0.803359375,2.7189548015594482,19,0,0.40597134694457054,0,0.307861328125,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,structured_in
0.5,0.804453125,2.374621629714966,9,8,0.4111982934176922,8,0.5,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,movement
0.8,0.8071875,2.9736452102661133,0,0,0.3808785355091095,0,0.7998046875,0.78109375,2.607905626296997,0,0,0.43292055688798425,0,0.015625,0,imp
0.1,0.81671875,2.5152740478515625,0,0,0.4490390250086784,0,0.10009765625,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,l1_unstructured
0.2,0.8078125,2.4650156497955322,0,0,0.43171952083706855,0,0.199951171875,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,l1_unstructured
0.3,0.8153125,2.4387130737304688,0,0,0.42730340152978896,0,0.300048828125,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,l1_unstructured
0.5,0.78421875,2.619063138961792,0,0,0.43878302723169327,0,0.5,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,l1_unstructured
0.8,0.75125,2.2136662006378174,0,0,0.5140544259548188,0,0.800048828125,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,l1_unstructured
0.1,0.8003125,2.4996836185455322,6,0,0.4036529874801636,0,0.10791015625,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,structured_in
0.2,0.8009375,2.3266124725341797,13,0,0.43779331564903257,0,0.215576171875,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,structured_in
0.3,0.80828125,2.2147057056427,19,0,0.44527507603168487,0,0.307861328125,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,structured_in
0.5,0.798125,2.2082676887512207,32,0,0.45510537952184676,0,0.5078125,0.7840625,2.2718653678894043,0,0,0.48010886400938035,0,0.015625,0,structured_in
