seed,strategy,amount,pre_loss,pre_acc,post_loss,post_acc,pre_sparsity,post_sparsity,pre_alpha_rho,post_alpha_rho,pre_rows_zero,pre_cols_zero,pre_isolated,post_rows_zero,post_cols_zero,post_isolated,runtime_s
3,l1_neuron,0.3,0.4250813999772072,0.81640625,0.4937808805704117,0.82546875,0.015625,0.5166015625,2.022836446762085,2.4763100147247314,0,0,0,19,19,19,4.81
4,l1_neuron,0.3,0.5293479910492898,0.73734375,0.40628906413912774,0.80921875,0.015625,0.5166015625,3.240307331085205,2.8844659328460693,0,0,0,19,19,19,4.87
0,l1_neuron,0.4,0.46167195290327073,0.7896875,0.8070557180047035,0.75265625,0.015625,0.65673828125,3.3099608421325684,2.7075369358062744,0,0,0,26,26,26,5.04
1,l1_neuron,0.4,0.4109236843883991,0.806875,0.40460893243551255,0.8015625,0.015625,0.65673828125,2.0945370197296143,2.280911445617676,0,0,0,26,26,26,4.99
2,l1_neuron,0.4,0.4961835527420044,0.7740625,0.605496666431427,0.77515625,0.015625,0.65673828125,2.7215025424957275,2.4948763847351074,0,0,0,26,26,26,4.99
3,l1_neuron,0.4,0.4250813999772072,0.81640625,0.3951697102189064,0.81609375,0.015625,0.65673828125,2.022836446762085,2.331698417663574,0,0,0,26,26,26,5.12
4,l1_neuron,0.4,0.5293479910492898,0.73734375,0.39189530700445174,0.815,0.015625,0.65673828125,3.240307331085205,3.0344293117523193,0,0,0,26,26,26,4.97
0,l1_neuron,0.5,0.46167195290327073,0.7896875,0.5058515697717667,0.77171875,0.015625,0.7578125,3.3099608421325684,2.4699952602386475,0,0,0,32,32,32,4.89
1,l1_neuron,0.5,0.4109236843883991,0.806875,0.4064194010198116,0.8178125,0.015625,0.7578125,2.0945370197296143,2.236687183380127,0,0,0,32,32,32,4.79
2,l1_neuron,0.5,0.4961835527420044,0.7740625,0.3980822601914406,0.81265625,0.015625,0.7578125,2.7215025424957275,2.400632381439209,0,0,0,32,32,32,4.76
3,l1_neuron,0.5,0.4250813999772072,0.81640625,0.38779779434204104,0.823125,0.015625,0.7578125,2.022836446762085,2.298173427581787,0,0,0,32,32,32,4.88
4,l1_neuron,0.5,0.5293479910492898,0.73734375,0.3928752739727497,0.8178125,0.015625,0.7578125,3.240307331085205,2.9682674407958984,0,0,0,32,32,32,5.02
0,l1_neuron,0.6,0.46167195290327073,0.7896875,0.5060305169224739,0.78015625,0.015625,0.84130859375,3.3099608421325684,2.4825243949890137,0,0,0,38,38,38,4.81
1,l1_neuron,0.6,0.4109236843883991,0.806875,0.39488914534449576,0.81359375,0.015625,0.84130859375,2.0945370197296143,2.3271541595458984,0,0,0,38,38,38,4.79
2,l1_neuron,0.6,0.4961835527420044,0.7740625,0.4037415492534637,0.81734375,0.015625,0.84130859375,2.7215025424957275,2.044776201248169,0,0,0,38,38,38,5.01
3,l1_neuron,0.6,0.4250813999772072,0.81640625,0.37813946723937986,0.82328125,0.015625,0.84130859375,2.022836446762085,2.253882646560669,0,0,0,38,38,38,4.98
4,l1_neuron,0.6,0.5293479910492898,0.73734375,0.6897929522395134,0.8146875,0.015625,0.84130859375,3.240307331085205,2.860764503479004,0,0,0,38,38,38,4.95
0,movement_neuron,0.1,0.46167195290327073,0.7896875,0.4262563028931618,0.81296875,0.015625,0.19287109375,3.3099608421325684,3.987252712249756,0,0,0,6,6,6,5.2
1,movement_neuron,0.1,0.4109236843883991,0.806875,0.4128859736025333,0.8003125,0.015625,0.19287109375,2.0945370197296143,2.1905951499938965,0,0,0,6,6,6,5.22
2,movement_neuron,0.1,0.4961835527420044,0.7740625,0.40626545816659926,0.8121875,0.015625,0.19287109375,2.7215025424957275,3.5866870880126953,0,0,0,6,6,6,5.04
3,movement_neuron,0.1,0.4250813999772072,0.81640625,0.40499245047569277,0.82140625,0.015625,0.19287109375,2.022836446762085,2.1602368354797363,0,0,0,6,6,6,5.06
4,movement_neuron,0.1,0.5293479910492898,0.73734375,0.40560737788677215,0.80625,0.015625,0.19287109375,3.240307331085205,3.471707344055176,0,0,0,6,6,6,5.03
0,movement_neuron,0.2,0.46167195290327073,0.7896875,0.424436157643795,0.80328125,0.015625,0.37744140625,3.3099608421325684,3.5596277713775635,0,0,0,13,13,13,5.03
1,movement_neuron,0.2,0.4109236843883991,0.806875,0.42042670264840126,0.8084375,0.015625,0.37744140625,2.0945370197296143,2.4403860569000244,0,0,0,13,13,13,5.21
2,movement_neuron,0.2,0.4961835527420044,0.7740625,0.5022314697504043,0.806875,0.015625,0.37744140625,2.7215025424957275,3.3092000484466553,0,0,0,13,13,13,5.1
3,movement_neuron,0.2,0.4250813999772072,0.81640625,0.38861382186412813,0.81875,0.015625,0.37744140625,2.022836446762085,2.8330304622650146,0,0,0,13,13,13,4.99
4,movement_neuron,0.2,0.5293479910492898,0.73734375,0.39589025169610975,0.8115625,0.015625,0.37744140625,3.240307331085205,3.324174404144287,0,0,0,13,13,13,5.03
0,movement_neuron,0.3,0.46167195290327073,0.7896875,0.5469561466574668,0.78953125,0.015625,0.5166015625,3.3099608421325684,3.227313756942749,0,0,0,19,19,19,5.1
1,movement_neuron,0.3,0.4109236843883991,0.806875,0.4252729012072086,0.7971875,0.015625,0.5166015625,2.0945370197296143,2.2551136016845703,0,0,0,19,19,19,5.07
2,movement_neuron,0.3,0.4961835527420044,0.7740625,0.4162104308605194,0.81921875,0.015625,0.5166015625,2.7215025424957275,3.1066417694091797,0,0,0,19,19,19,5.08
3,movement_neuron,0.3,0.4250813999772072,0.81640625,0.39198025688529015,0.819375,0.015625,0.5166015625,2.022836446762085,1.9458097219467163,0,0,0,19,19,19,5.07
4,movement_neuron,0.3,0.5293479910492898,0.73734375,0.4147831454873085,0.81359375,0.015625,0.5166015625,3.240307331085205,3.116375684738159,0,0,0,19,19,19,5.38
0,movement_neuron,0.4,0.46167195290327073,0.7896875,0.42425947681069376,0.80703125,0.015625,0.65673828125,3.3099608421325684,2.898008346557617,0,0,0,26,26,26,5.17
1,movement_neuron,0.4,0.4109236843883991,0.806875,0.41487395390868187,0.80546875,0.015625,0.65673828125,2.0945370197296143,2.3273065090179443,0,0,0,26,26,26,5.05
2,movement_neuron,0.4,0.4961835527420044,0.7740625,0.3899118611216545,0.8121875,0.015625,0.65673828125,2.7215025424957275,2.157771587371826,0,0,0,26,26,26,5.29
3,movement_neuron,0.4,0.4250813999772072,0.81640625,0.39368189230561257,0.81828125,0.015625,0.65673828125,2.022836446762085,2.339240550994873,0,0,0,26,26,26,5.32
4,movement_neuron,0.4,0.5293479910492898,0.73734375,0.44186045199632645,0.7946875,0.015625,0.65673828125,3.240307331085205,2.878680944442749,0,0,0,26,26,26,5.17
0,movement_neuron,0.5,0.46167195290327073,0.7896875,0.43247972428798676,0.80828125,0.015625,0.7578125,3.3099608421325684,2.6313319206237793,0,0,0,32,32,32,5.28
1,movement_neuron,0.5,0.4109236843883991,0.806875,0.43538388013839724,0.8059375,0.015625,0.7578125,2.0945370197296143,2.3772764205932617,0,0,0,32,32,32,5.81
2,movement_neuron,0.5,0.4961835527420044,0.7740625,0.6079204091429711,0.7865625,0.015625,0.7578125,2.7215025424957275,2.044198751449585,0,0,0,32,32,32,5.46
3,movement_neuron,0.5,0.4250813999772072,0.81640625,0.4117065462470055,0.81140625,0.015625,0.7578125,2.022836446762085,1.9548789262771606,0,0,0,32,32,32,5.28
4,movement_neuron,0.5,0.5293479910492898,0.73734375,0.4088671737909317,0.81203125,0.015625,0.7578125,3.240307331085205,2.5371782779693604,0,0,0,32,32,32,5.43
0,movement_neuron,0.6,0.46167195290327073,0.7896875,0.6166664564609527,0.79625,0.015625,0.84130859375,3.3099608421325684,2.499338388442993,0,0,0,38,38,38,5.2
1,movement_neuron,0.6,0.4109236843883991,0.806875,0.4068699236214161,0.80484375,0.015625,0.84130859375,2.0945370197296143,2.309420585632324,0,0,0,38,38,38,5.35
2,movement_neuron,0.6,0.4961835527420044,0.7740625,0.4776002433896065,0.788125,0.015625,0.84130859375,2.7215025424957275,2.0637717247009277,0,0,0,38,38,38,5.73
3,movement_neuron,0.6,0.4250813999772072,0.81640625,0.3871529316902161,0.8178125,0.015625,0.84130859375,2.022836446762085,2.105022430419922,0,0,0,38,38,38,5.57
4,movement_neuron,0.6,0.5293479910492898,0.73734375,0.4590899109840393,0.79421875,0.015625,0.84130859375,3.240307331085205,2.0471653938293457,0,0,0,38,38,38,5.29
0,random_neuron,0.1,0.46167195290327073,0.7896875,0.6103518718481064,0.7971875,0.015625,0.19287109375,3.3099608421325684,4.633514404296875,0,0,0,6,6,6,5.1
1,random_neuron,0.1,0.4109236843883991,0.806875,0.4353843382000923,0.79015625,0.015625,0.19287109375,2.0945370197296143,2.7563486099243164,0,0,0,6,6,6,5.02
2,random_neuron,0.1,0.4961835527420044,0.7740625,0.43437050461769106,0.79640625,0.015625,0.19287109375,2.7215025424957275,2.60072922706604,0,0,0,6,6,6,4.88
3,random_neuron,0.1,0.4250813999772072,0.81640625,0.45040023103356364,0.8,0.015625,0.19287109375,2.022836446762085,2.156691074371338,0,0,0,6,6,6,4.83
4,random_neuron,0.1,0.5293479910492898,0.73734375,0.460518025457859,0.79671875,0.015625,0.19287109375,3.240307331085205,3.2837271690368652,0,0,0,6,6,6,4.83
0,random_neuron,0.2,0.46167195290327073,0.7896875,0.3991901633143425,0.8084375,0.015625,0.37744140625,3.3099608421325684,3.4566702842712402,0,0,0,13,13,13,4.77
1,random_neuron,0.2,0.4109236843883991,0.806875,0.42746933057904246,0.790625,0.015625,0.37744140625,2.0945370197296143,2.2339208126068115,0,0,0,13,13,13,4.76
2,random_neuron,0.2,0.4961835527420044,0.7740625,0.49502287834882736,0.79734375,0.015625,0.37744140625,2.7215025424957275,2.86203670501709,0,0,0,13,13,13,4.79
3,random_neuron,0.2,0.4250813999772072,0.81640625,0.4849939230084419,0.7640625,0.015625,0.37744140625,2.022836446762085,2.2257192134857178,0,0,0,13,13,13,4.76
4,random_neuron,0.2,0.5293479910492898,0.73734375,0.5150385957956314,0.77921875,0.015625,0.37744140625,3.240307331085205,2.982018232345581,0,0,0,13,13,13,4.77
